"The column titles for this worksheet are in row 7. They span cells A7 through I7 inclusive. The following cells have sort options: A7 through I7 inclusive. The data spans cells A8 through I14681.  If you are not using a screen reader, you can press Alt + R, T for the Review Ribbon, Edit Comment to move to and open a Comment once you are on a cell with a Comment. When you are finished reading the Comment, press Escape to close the comment and return to the worksheet. If you are using the JAWS screen reader, press Ctrl + Shift + Apostrophe to get a list of Comments and their cell coordinates in the worksheet. Press Enter on the Comment you want to go to or Escape once you’ve read the Comment for a cell. You are returned to the workbook. Note that there is no keyboard command with JAWS to reread Comments or read Comments once you are on them in a cell. You must use the ability to list Comments in order to read them if you are using the JAWS screen reader.",,,,,,,,,
,,,,,,,,,
CI-0085543,Rogers Communications,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Moncton,New Brunswick,
CI-0096862,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Small Business,Calgary,Alberta,
CI-0019456,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,coquitlam,British Columbia,
CI-0068598,Koodo,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Kingston,Ontario,
CI-0072883,Bell Canada,TV,Service Delivery,Service not working,Intermittent service,Consumer,Mississauga,Ontario,
CI-0086980,Rogers Communications,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,London,Ontario,
CI-0086980,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,London,Ontario,
CI-0086980,Rogers Communications,TV,Credit Management,3rd party credit reporting,,Consumer,London,Ontario,
CI-0004339,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Richmond,British Columbia,
CI-0015550-PT,Bell Canada,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Brigus Junction,Newfoundland and Labrador,
CI-0015550-PT,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Brigus Junction,Newfoundland and Labrador,
CI-0097146,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Richmond hill,Ontario,
CI-0078854,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Ottawa,Ontario,
CI-0072886,Rogers Communications,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Ridgeway,Ontario,
CI-0082063,Koodo,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Calgary,Alberta,
CI-0014782,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Sherwood park,Alberta,
CI-0019661,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Vancouver,British Columbia,
CI-0062875,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Dieppe,New Brunswick,
CI-0077735,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vancouver,British Columbia,
CI-0056948,Free Phone Line,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Kelowna ,British Columbia,
CI-0008001,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,London ,Ontario,
CI-0086585,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Scarborough,Ontario,
CI-0026404,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,Device financing,Consumer,Hamilton,Ontario,
CI-0076634,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Vancouver,British Columbia,
CI-0006869,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Ottawa,Ontario,
CI-0068414,Shaw,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Parksville BC,British Columbia,
CI-0018954,Virgin Plus,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Kitchener,Ontario,
CI-0059971,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Brampton ,Ontario,
CI-0033373,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Burnaby,British Columbia,
CI-0088970,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Medicine HAt,Alberta,
CI-0081381,TELUS Communications Inc.,Wireless services,Credit Management,3rd party credit reporting,,Consumer,Kirkland,Quebec,
CI-0085177,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Montreal,Quebec,
CI-0033059,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Calgary,Alberta,
CI-0017990,Chatr,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Montreal,Quebec,
CI-0017990,Chatr,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Montreal,Quebec,
CI-0046191,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Small Business,BEAVER COUNTY,Alberta,
CI-0038165,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Rimouski,Quebec,
CI-0018646,Vidéotron,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Montreal,Quebec,
CI-0018646,Vidéotron,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Montreal,Quebec,
CI-0046381,Fido,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Kitchener,Ontario,
CI-0092931,Rogers Communications,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Markham,Ontario,
CI-0094483,Bell Canada,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Renfrew,Ontario,
CI-0060761,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Concord,Ontario,
CI-0022773,Public Mobile,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Calgary,Alberta,
CI-0055772,Bell Canada,TV,Service Delivery,Service not working,Complete loss of service,Consumer,Grimsby,Ontario,
CI-0040987,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0069725,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,thunder bay,Ontario,
CI-0058107,Xplore,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Douro-Dummer,Ontario,
CI-0041558,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Winnipeg,Manitoba,
CI-0033531,Rogers Communications,TV,Service Delivery,Service not working,Intermittent service,Consumer,Etobicoke,Ontario,
CI-0069536,Public Mobile,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Longueuil,Quebec,
CI-0006956,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Toronto,Ontario,
CI-0088889,Bell Canada,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Ste-Perpétue-Nicolet/Yamaska,Quebec,
CI-0030086,Vidéotron,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Montreal,Quebec,
CI-0029649,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Québec,Quebec,
CI-0086227,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Riviere-Rouge,Quebec,
CI-0086227,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Riviere-Rouge,Quebec,
CI-0036119,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,SUDBURY,Ontario,
CI-0039896,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,London,Ontario,
CI-0049978,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Brampton,Ontario,
CI-0038349-PF,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,London,Ontario,
CI-0099698,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,L'épiphanie,Quebec,
CI-0091905,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Coquitlam,British Columbia,
CI-0061628-PT,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,greenfield park ,Quebec,
CI-0017219,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Vernon,British Columbia,
CI-0095609,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Richmond Hill,Ontario,
CI-0018718-PT,Seaside Communications Powered by Rogers,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Lansdowne station,Nova Scotia,
CI-0063844,Bell MTS,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Small Business,Winnipeg,Manitoba,
CI-0095138,Public Mobile,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Welland,Ontario,
CI-0001970,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,Rules related to agreement are unclear,Consumer,Woodbridge ,Ontario,
CI-0058872,Bell MTS,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Portage la Prairie ,Manitoba,
CI-0050662,Virgin Plus,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0090502,SpeakOut Wireless,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,edmonton,Alberta,
CI-0052456,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Edmonton,Alberta,
CI-0081023,Bell Canada,Long distance services (including prepaid calling cards),Service Delivery,Service not working,Intermittent service,Consumer,Laval,Quebec,
CI-0005250,Virgin Plus,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,BEACHBURG,Ontario,
CI-0069574,Bell Canada,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,St. Catharines,Ontario,
CI-0064023,Fido,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Toronto,Ontario,
CI-0090878,Koodo,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,North Vancouver,British Columbia,
CI-0041476,SpeakOut Wireless,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Winnipeg,Manitoba,
CI-0008372,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Edmonton,Alberta,
CI-0008372,Shaw,TV,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Edmonton,Alberta,
CI-0008372,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Edmonton,Alberta,
CI-0093110-PT,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Vancouver,British Columbia,
CI-0003853,Fido,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Montreal,Quebec,
CI-0096972,Public Mobile,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Surrey,British Columbia,
CI-0052629,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,chateauguay,Quebec,
CI-0069379,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0079077,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Toronto,Ontario,
CI-0059896,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Longueuil,Quebec,
CI-0064837,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,RENFREW ,Ontario,
CI-0078944-PF,Shaw,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Calgary,Alberta,
CI-0003003,Fido,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Barrie,Ontario,
CI-0079820,Bell Canada,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Bowmanville ,Ontario,
CI-0001948,Rogers Communications,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Kelowna ,British Columbia,
CI-0021092,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Chambly,Quebec,
CI-0021092,Virgin Plus,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Chambly,Quebec,
CI-0089932,Shaw,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,surrey,British Columbia,
CI-0075129,Virgin Plus,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Montréal,Quebec,
CI-0022922,Rogers Communications,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Carleton place ,Ontario,
CI-0025222,Freedom Mobile Inc.,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Ottawa,Ontario,
CI-0013208,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Saint-Constant,Quebec,
CI-0050135,TELUS Communications Inc.,TV,Service Delivery,Service not working,Intermittent service,Consumer,Burnaby,British Columbia,
CI-0050135,TELUS Communications Inc.,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Burnaby,British Columbia,
CI-0065131,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Calgary,Alberta,
CI-0058490,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Mooretown ,Ontario,
CI-0087916,Ooma,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,Fall River,Nova Scotia,
CI-0050036,Bell Canada,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Saint-lin Laurentides,Quebec,
CI-0064194,Rogers Communications,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Stouffville,Ontario,
CI-0064194,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Stouffville,Ontario,
CI-0068665,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,WOODBRIDGE,Ontario,
CI-0080674,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Hamilton,Ontario,
CI-0094597,Bell Canada,TV,Credit Management,3rd party credit reporting,,Consumer,Strathroy ,Ontario,
CI-0037446,Primus,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Montréal,Quebec,
CI-0069996,Bell Canada,TV,Billing,Reoccurring charges,Incorrect Charge,Consumer,Sherbrooke,Quebec,
CI-0004518,Bell Aliant,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Queensport,Nova Scotia,
CI-0061641,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Vancouver,British Columbia,
CI-0010582,Bell Canada,TV,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Mississauga,Ontario,
CI-0010582,Bell Canada,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Mississauga,Ontario,
CI-0010582,Bell Canada,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Mississauga,Ontario,
CI-0027506,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Oshawa,Ontario,
CI-0011080,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Elmira ,Ontario,
CI-0008085,Free Phone Line,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Montreal ,Quebec,
CI-0062370,Rogers Communications,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Etobicoke,Ontario,
CI-0062370,Rogers Communications,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Etobicoke,Ontario,
CI-0023220,Fido,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Surrey,British Columbia,
CI-0088613,Fido,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,"333 bloor st East, toronto ON M4W 1G9",Ontario,
CI-0016315,TekSavvy Solutions Inc.,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Winnipeg,Manitoba,
CI-0099749-PT,Shaw,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Campbell River,British Columbia,
CI-0016812,Bell Canada,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Toronto,Ontario,
CI-0075064,Virgin Plus,Wireless services,Credit Management,3rd party credit reporting,,Consumer,OSHAWA,Ontario,
CI-0040962,Freedom Mobile Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer, STOUFFVILLE,Ontario,
CI-0059346,Chatr,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Quispamsis,New Brunswick,
CI-0065600,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Pierson,Manitoba,
CI-0029955,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Mississauga,Ontario,
CI-0029955,Rogers Communications,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Mississauga,Ontario,
CI-0085917,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Vancouver,British Columbia,
CI-0090471,Bell Canada,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Driftpile ,Alberta,
CI-0092845,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0095299,Can-Net Telecom Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Toronto,Ontario,
CI-0022813,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bas-Caraquet,New Brunswick,
CI-0051095,TELUS Communications Inc.,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Small Business,Woodbridge,Ontario,
CI-0007115,Virgin Plus,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Brantford,Ontario,
CI-0033100,Rogers Communications,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Toronto,Ontario,
CI-0037797,Koodo,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Calgary,Alberta,
CI-0068511,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Bas-Caraquet,New Brunswick,
CI-0010635,Bell MTS,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Winnipeg,Manitoba,
CI-0044238,Fizz,Wireless services,Service Delivery,Service Not Working,Repair Issues and Appointments,Consumer,Pont-Rouge,Quebec,
CI-0044672,Bell Canada,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0044672,Bell Canada,TV,Service Delivery,Service not working,Repair issues and appointments,Consumer,Toronto,Ontario,
CI-0063957,Virgin Plus,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,cote-saint Luc,Quebec,
CI-0098467,Shaw,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Winnipeg,Manitoba,
CI-0019411,Virgin Plus,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Richmond Hill,Ontario,
CI-0091217,Bell Canada,Wireless services,Contract Dispute,Disclosure Issues,Device financing,Consumer,Laval,Quebec,
CI-0039683,Rogers Communications,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Bishop's Falls,Newfoundland and Labrador,
CI-0033461,Bell Canada,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Tracadie,New Brunswick,
CI-0053885,Shaw,Local exchange and VoIP services (including calling features),Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Calgary,Alberta,
CI-0053885,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Calgary,Alberta,
CI-0007111-PF,TELUS Communications Inc.,TV,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Courtenay,British Columbia,
CI-0007111-PF,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Courtenay,British Columbia,
CI-0007111-PF,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Courtenay,British Columbia,
CI-0007111-PF,TELUS Communications Inc.,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Courtenay,British Columbia,
CI-0007111-PF,TELUS Communications Inc.,TV,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Courtenay,British Columbia,
CI-0049396,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Kanata,Ontario,
CI-0068296,Vidéotron,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Montreal,Quebec,
CI-0055599,Bell Canada,Internet Access Services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,sainte Mélanie ,Quebec,
CI-0062560,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Vancouver ,British Columbia,
CI-0034708,Rogers Communications,Local exchange and VoIP services (including calling features),Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Richmond Hill,Ontario,
CI-0087712,Vidéotron,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Laval ,Quebec,
CI-0010608,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Vancouver,British Columbia,
CI-0041357,Shaw,Internet Access Services,Service Delivery,Service not working,Complete loss of service,Consumer,Winnipeg,Manitoba,
CI-0027019,Public Mobile,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Prince George,British Columbia,
CI-0039187,Koodo,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Cambridge,Ontario,
CI-0060360,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Enderby,British Columbia,
CI-0043489,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Vaughan,Ontario,
CI-0006714,Fido,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,richmond,British Columbia,
CI-0096805,Freedom Mobile Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Surrey,British Columbia,
CI-0016909,Vidéotron,Internet Access Services,Credit Management,3rd party credit reporting,,Consumer,Granby ,Quebec,
CI-0099808,Fizz,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Laval,Quebec,
CI-0064017,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Toronto,Ontario,
CI-0064017,TELUS Communications Inc.,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0002774,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Toronto,Ontario,
CI-0018433,Public Mobile,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Windsor,Ontario,
CI-0057342,Bell Canada,Internet Access Services,Service Delivery,Service not working,Repair issues and appointments,Consumer,Etobicoke,Ontario,
CI-0016962,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Service Delivery,Service not working,Complete loss of service,Consumer,ARMSTRONG/ ENDERBY,British Columbia,
CI-0090388,TELUS Communications Inc.,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,victoria,British Columbia,
CI-0090388,TELUS Communications Inc.,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,victoria,British Columbia,
CI-0014647,Virgin Plus,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,York,Ontario,
CI-0087495,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0087495,Rogers Communications,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Mississauga,Ontario,
CI-0000072,Bell Canada,TV,Billing,Reoccurring charges,Credit/refund not received,Consumer,Ste-Catherine-de-laJ.C.,Quebec,
CI-0000072,Bell Canada,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Ste-Catherine-de-laJ.C.,Quebec,
CI-0007636,Shaw,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Port Coquitlam,British Columbia,
CI-0091311,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0016695,Worldline,Local exchange and VoIP services (including calling features),Billing,Reoccurring charges,Incorrect Charge,Consumer,Stratford ,Ontario,
CI-0016695,Worldline,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Stratford ,Ontario,
CI-0016695,Worldline,Internet Access Services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Stratford ,Ontario,
CI-0082749,Fizz,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Chicoutimi,Quebec,
CI-0062377,TELUS Communications Inc.,Internet Access Services,Service Delivery,Service not working,Intermittent service,Consumer,Cochrane,Alberta,
CI-0089975,TekSavvy Solutions Inc.,Internet Access Services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Chatham,Ontario,
CI-0078060,Rogers Communications,Wireless services,Billing,Reoccurring charges,Incorrect Charge,Consumer,Mississauga,Ontario,
CI-0033280,TELUS Communications Inc.,Wireless services,Service Delivery,Service Not Working,Complete Loss of Service,Consumer,Tracadie-Sheila ,New Brunswick,
CI-0031736,Rogers Communications,Wireless services,Service Delivery,Service Not Working,Intermittent Service,Consumer,Nigadoo,New Brunswick,
CI-0029932,TELUS Communications Inc.,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Breach of contract,Consumer,Maple,Ontario,
CI-0039873,Bell Canada,Wireless services,Billing,Reoccurring charges,Credit/refund not received,Consumer,Calgary,Alberta,
CI-0031912,Sasktel,Wireless services,Contract Dispute,Disclosure Issues,No Consent/Contract conflicts with agreement,Consumer,Saskatoon,Saskatchewan,
CI-0031912,Sasktel,Wireless services,Billing,Reoccurring charges,Regular price increase of monthly price plans,Consumer,Saskatoon,Saskatchewan,
CI-0031912,Sasktel,Wireless services,Contract Dispute,Compliance with Terms of Service/Contract,Changes to the contract,Consumer,Saskatoon,Saskatchewan,
